Compound,SMILE,FP-2 IC50 (uM),FP-2 pIC50 (uM)
164,Clc1ccc2N(C(=O)OCc3ccccc3)C(=O)C(=O)c2c1,51.0,4.292429823902063
183,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)\C=C1/CCCN(c2ccccc2)S1(=O)=O,26.5,4.576754126063192
184,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)\C=C1/CCN(Cc2ccccc2)S1(=O)=O,48.4,4.315154638355588
185,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)\C=C1/CCCN(c2ccccc2)S1(=O)=O,31.4,4.503070351926785
187,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)\C=C1\CCCN(Cc2ccccc2)S1(=O)=O,23.6,4.627087997029894
188,CC(C)CC(NC(=O)N1CCOCC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)c1ccccc1,0.003,8.522878745280337
192,C\C(CC(=O)c1ccc(Cl)c(Cl)c1)=N/NC(=S)NCCNc1ccnc2cc(Cl)ccc12,2.415,5.617082864912469
193,C\C(CC(=O)c1ccc(Cl)c(Cl)c1)=N/NC(=S)NCCCNc1ccnc2cc(Cl)ccc12,4.416,5.354970935278858
198,C\C(CC(=O)c1ccc(Br)cc1)=N/NC(=S)NCCNc1ccnc2cc(Cl)ccc12,12.932,4.888334304060481
200,OC(=O)c1ccccc1N\N=C\c1ccc(\C=N\Nc2ccccc2C(O)=O)cc1,1.0,6.0
201,Oc1ccc(\C=N\c2ccc(\N=C\c3ccc(O)cc3O)c(Cl)c2)c(O)c1,2.1,5.6777807052660805
202,Oc1ccccc1C(=O)N\N=C\c1ccc(\C=N\NC(=O)c2ccccc2O)cc1,2.2,5.657577319177793
203,C\C(=N/NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O,3.9,5.4089353929735005
204,Oc1cccc(\C=N\c2cccc3c(cccc23)\N=C/c2cccc(O)c2O)c1O,4.6,5.337242168318426
205,COC(=O)c1ccccc1NC(=O)COC(=O)CSc1nc(C)cc(C)n1,6.2,5.2076083105017466
206,O=C(NCc1ccc(\C=c2\sc3=NCCn3c2=O)o1)C(=O)Nc1ccccc1,6.2,5.2076083105017466
207,Oc1ccccc1\C=N\NC(=O)c1cccc(n1)C(=O)N\N=C\c1ccccc1O,7.0,5.154901959985743
208,Cc1cccc(NC(=O)CCC(=O)N\N=C\c2cc(Cl)ccc2O)c1,7.5,5.1249387366083
209,O=C(CSc1nnnn1-c1ccccc1)Nc1ccc(cc1)-n1cnnn1,7.5,5.1249387366083
210,CCCS(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2ccccc2c1,12.4,4.906578314837765
211,O=C(CN1C(=O)\C(=N/NC(=O)c2ccncc2)c2ccccc12)Nc1ccccc1,40.9,4.388276691992658
212,Fc1ccc(NC(=O)COc2ccc(\C=N/NC(=O)CC#N)cc2)cc1,5.7,5.2441251443275085
213,Oc1ccc(\C=N\CC\N=C\c2ccc(O)cc2O)c(O)c1,20.8,4.681936665037238
214,Oc1ccc(Nc2nc(cs2)-c2cccnc2)cc1,22.5,4.647817481888637
215,O=C(CNC(=O)[C@@H]1COc2ccccc2O1)N\N=C\c1cccs1,26.6,4.575118363368933
216,O=C(Cn1nnc(n1)-c1ccccc1)N\N=C1/C(=O)Nc2ccccc12,27.3,4.5638373529592435
217,Oc1ccc(\C=N/NC(=O)Cc2nnc(NC(=O)c3ccccc3)s2)cc1O,31.1,4.507239610973163
218,CCOP(=O)(CC(=O)NNC(=O)Nc1cccc2ccccc12)OCC,53.4,4.272458742971444
219,OC[C@H](O)\C=N\Nc1nc(Nc2ccccc2)nc(n1)N1CCCCC1,54.6,4.262807357295263
220,CCCc1cc(O)nc(SCC(=O)Nc2ccccc2)n1,59.9,4.2225731776106885
221,Oc1ccc(\C=N\NC(=O)CSc2ccc3ccccc3n2)c(O)c1,63.4,4.1979107421182675
224,COC1=CC(=O)N([C@H]1C)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.00678,8.168770306132936
225,CO[C@H]1CC(=O)N([C@H]1C)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.00281,8.55129368009492
226,COC1=CC(=O)N([C@H]1C)C(=O)CC[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,3.71,5.430626090384954
228,CC[C@H](C)[C@H](N(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N[C@@H](C)C(=O)NCc1ccccc1,10.5,4.978810700930062
229,CC[C@H](C)[C@H](N(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N[C@@H](C)C(=O)N1C[C@@H](O)C[C@H]1C(=O)OC,7.7,5.113509274827519
231,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N[C@@H](C)C(=O)Nc1nccs1,2.5,5.6020599913279625
232,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C(C)C)N(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N[C@@H](C)C(=O)NCc1ccccc1,3.4,5.468521082957745
233,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C)C(=O)N[C@@H](C)\C=C\C(=O)N[C@@H](C)C(=O)NCc1ccccc1,6.0,5.221848749616356
236,COC1=CC(=O)N(C1)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.0248,7.605548319173784
237,COC1=CC(=O)N([C@H]1C(C)C)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.00952,8.021363051615525
238,COC1=CC(=O)N([C@H]1Cc1ccc(O)cc1)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.00525,8.279840696594043
239,COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.012,7.920818753952375
240,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1CC(OCc2ccccc2)=CC1=O,0.00959,8.018181392829337
241,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C(C)C)C(OCc2ccccc2)=CC1=O,0.00686,8.163675884293248
242,CC1CC(NCC(=O)NCN2CCOCC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.035,7.455931955649724
243,CC1CC(NCC(=O)N2CCCC2CO)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.027,7.568636235841013
244,CC1CC(NCC(=O)N2CCN(C)CC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0087,8.060480747381382
245,CC1CC(NCC(=O)N2CCN(CCO)CC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0092,8.036212172654444
246,CC1CC(NCC(=O)N2CCOCC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0035,8.455931955649724
247,CCOC(=O)C1CCN(CC1)C(=O)CNC1CC(C)CN(C\C=C\S(=O)(=O)c2ccccc2)C1=O,0.0069,8.161150909262744
248,CC1CC(NCC(=O)N2CCC(O)CC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0099,8.00436480540245
249,CC1CC(NCC(=O)N2CCC(CC2)N2CCCC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0067,8.173925197299173
250,CC1CC(NCS(=O)(=O)c2ccccc2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.14,6.853871964321762
251,CC(C)CC(NCC(=O)N1CCN(C)CC1)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0023,8.638272163982407
252,CC1CC(NCC(=O)N2CCOCC2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0022,8.657577319177793
253,CC(C)CCNC(=O)CNC1CC(C)CN([C@@H](CCc2ccccc2)\C=C\S(=O)(=O)NOCc2ccccc2)C1=O,0.025,7.6020599913279625
254,CC1CC(NCC(=O)NCCN2CCOCC2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.014,7.853871964321762
255,CC1CC(NCC(=O)NCCCCCO)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.016,7.795880017344075
256,CC1CC(NCC(=O)N2CCCC2CO)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0036,8.443697499232712
257,CC1CC(NCC(=O)N2CCN(CCO)CC2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0025,8.602059991327963
258,CCOC(=O)C1CCN(CC1)C(=O)CNC1CC(C)CN([C@@H](CCc2ccccc2)\C=C\S(=O)(=O)NOCc2ccccc2)C1=O,0.0022,8.657577319177793
259,CC1CC(NCC(=O)NS(=O)(=O)c2ccccc2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.016,7.795880017344075
260,COc1ccc(OS(=O)(=O)\C=C\C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)N2CCOCC2)cc1,0.0007,9.154901959985743
261,COc1ccc(OS(=O)(=O)\C=C\C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)N2CCN(C)CC2)cc1,0.0019,8.721246399047171
262,CCOC(=O)C1CCN(CC1)C(=O)NC(CC(C)C)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(OC)cc1,0.0009,9.045757490560675
263,CC(C)CC(NC(=O)N1CCOCC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.0007,9.154901959985743
264,CC(C)CC(NC(=O)N1CCN(C)CC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.021,7.6777807052660805
265,CCOC(=O)C1CCN(CC1)C(=O)NC(CC(C)C)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.0009,9.045757490560675
266,CC(C)CC(NC(=O)N1CCOCC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.0007,9.154901959985743
267,CC(C)CC(NC(=O)N1CCN(C)CC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.35,6.455931955649724
268,CCOC(=O)C1CCN(CC1)C(=O)NC(CC(C)C)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.0007,9.154901959985743
269,CC(C)CC(NC(=O)N1CCCC1CO)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.0008,9.096910013008056
